中文,英文,单元,年级,类别
遇到,meet,M1,四年级上半学期,单词
人们,people,M1,四年级上半学期,单词
他的,his,M1,四年级上半学期,单词
她的,her,M1,四年级上半学期,单词
只有,only,M1,四年级上半学期,单词
11,eleven,M1,四年级上半学期,单词
12,twelve,M1,四年级上半学期,单词
13,thirteen,M1,四年级上半学期,单词
14,fourteen,M1,四年级上半学期,单词
15,fifteen,M1,四年级上半学期,单词
16,sixteen,M1,四年级上半学期,单词
年龄,age,M1,四年级上半学期,单词
班级,class,M1,四年级上半学期,单词
吉尔,Jill,M1,四年级上半学期,单词
乔（男子名）,Joe,M1,四年级上半学期,单词
露丝（女子名）,Rose,M1,四年级上半学期,单词
问,ask,M1,四年级上半学期,单词
大笑,laugh,M1,四年级上半学期,单词
知道,know,M1,四年级上半学期,单词
桌子,desk,M1,四年级上半学期,单词
面具,mask,M1,四年级上半学期,单词
伙伴,mate,M1,四年级上半学期,单词
同桌,deskmate,M1,四年级上半学期,单词
同学,classmate,M1,四年级上半学期,单词
能力,ability/…can…,M1,四年级上半学期,单词
爱好,hobby,M1,四年级上半学期,单词
在…附近,near,M1,四年级上半学期,单词
画画（用颜料）,paint,M1,四年级上半学期,单词
画画（用铅笔）,draw,M1,四年级上半学期,单词
阅读,read,M1,四年级上半学期,单词
写字,write,M1,四年级上半学期,单词
游泳,swim,M1,四年级上半学期,单词
跳（双脚）,jump,M1,四年级上半学期,单词
学生,student,M1,四年级上半学期,单词
海豚,dolphin,M1,四年级上半学期,单词
黄蜂,wasp,M1,四年级上半学期,单词
薯片,crisp,M1,四年级上半学期,单词
高兴的,happy,M1,四年级上半学期,单词
饥饿的,hungry,M1,四年级上半学期,单词
口渴的,thirsty,M1,四年级上半学期,单词
悲伤的,sad,M1,四年级上半学期,单词
饱的,full,M1,四年级上半学期,单词
劳累的,tired,M1,四年级上半学期,单词
苏珊（女子名）,Susie,M1,四年级上半学期,单词
西蒙（男子名）,Simon,M1,四年级上半学期,单词
吐司,toast,M1,四年级上半学期,单词
邮递员,postman,M1,四年级上半学期,单词
在...附近,near,M1,四年级上半学期,单词
路灯,lamp post,M1,四年级上半学期,单词
瘦的/细的,thin,M1,四年级上半学期,单词
鹅卵石,pebble,M1,四年级上半学期,单词
激动的,excited,M1,四年级上半学期,单词
展示一张你朋友的照片,show a photo of your friend,M1,四年级上半学期,短语
谈论他/她,talk about him/her,M1,四年级上半学期,短语
带上面具,put on the mask,M1,四年级上半学期,短语
将要/打算,be going to,M1,四年级上半学期,短语
在…旁边,next to,M1,四年级上半学期,短语
步行到…去,walk to = go to,M1,四年级上半学期,短语
住在…附近,live near,M1,四年级上半学期,短语
爬树,climb a tree,M1,四年级上半学期,短语
数到三 / 从…数到…,count to three / count…from…,M1,四年级上半学期,短语
一个梦中的采访,a dream interview,M1,四年级上半学期,短语
一只口渴的乌鸦,a thirsty crow,M1,四年级上半学期,短语
走开,go away,M1,四年级上半学期,短语
（这里）有,here is/are,M1,四年级上半学期,短语
她的姓名是莎莉。,Her name is Sally.,M1,四年级上半学期,句子
他的姓名是保罗。,His name is Paul.,M1,四年级上半学期,句子
我是彼得的同班同学。,I'm Peter's classmate.,M1,四年级上半学期,句子
我们打算要去公园。,We are going to the park.,M1,四年级上半学期,句子
她的学号是16。,Her student number is sixteen.,M1,四年级上半学期,句子
她住在学校附近。,She lives near the school.,M1,四年级上半学期,句子
她每天走路去学校。,She walks to school every day.,M1,四年级上半学期,句子
她每天走路去学校。,She goes to school on foot every day.,M1,四年级上半学期,句子
你呢？,What about you?,M1,四年级上半学期,句子
马丁坐在他的桌子旁，制作着一个搞笑的面具。,"Martin is sitting at his desk, making a funny mask.",M1,四年级上半学期,句子
再见。,See you.=Goodbye.=Bye.,M1,四年级上半学期,句子
我是新来的。,I'm new here.,M1,四年级上半学期,句子
你学号多少？,What's your student number?,M1,四年级上半学期,句子
超级女孩会画图吗？,Can Supergirl paint a picture?,M1,四年级上半学期,句子
不，她不会，但她能跑得很快。,"No, she can't, but she can run fast.",M1,四年级上半学期,句子
我非常喜欢游泳。,I like swimming very much.,M1,四年级上半学期,句子
欢迎来到今天的“超级时间”。,Welcome to today's ‘Super Time’.,M1,四年级上半学期,句子
这是我们的客人，超级女孩。,"This is our guest, Supergirl.",M1,四年级上半学期,句子
大家好。,"Hello, everyone！",M1,四年级上半学期,句子
你们俩都很棒！,You're both super!,M1,四年级上半学期,句子
把它给你的老师,Give it to your teacher,M1,四年级上半学期,句子
对于黄蜂来说，今天不是个好日子。,It's not a good day for the wasp.,M1,四年级上半学期,句子
去在我的薯片上玩。,To play on my crisps.,M1,四年级上半学期,句子
我们回来了。,We're back.,M1,四年级上半学期,句子
你们感觉如何？,How do you feel?,M1,四年级上半学期,句子
我们很累。,We're tired.,M1,四年级上半学期,句子
你们饿吗？,Are you hungry?,M1,四年级上半学期,句子
是的，我们很饿。,"Yes, we are.",M1,四年级上半学期,句子
吃一些饼干吧。,Have some biscuits.,M1,四年级上半学期,句子
谢谢，妈妈。,"Thanks, Mum.",M1,四年级上半学期,句子
你口渴吗，本？,"Are you thirsty, Ben?",M1,四年级上半学期,句子
是的，我很口渴。,"Yes, I'm thirsty.",M1,四年级上半学期,句子
那么喝一些水吧。,Have some water then.,M1,四年级上半学期,句子
谢谢你，妈妈。,"Thank you, Mum.",M1,四年级上半学期,句子
请进。,Please come in.,M1,四年级上半学期,句子
这儿有些水给你。,Here's some water for you.,M1,四年级上半学期,句子
他们相互不喜欢。,They don't like each other.,M1,四年级上半学期,句子
今天又热又干燥。,It is hot and dry today.,M1,四年级上半学期,句子
它里面有一些水。,It has some water in it.,M1,四年级上半学期,句子
我是这么的口渴，但我喝不到它。,"I'm so thirsty, but I can't drink it.",M1,四年级上半学期,句子
这个瓶子太长和窄。,This bottle is too long and thin.,M1,四年级上半学期,句子
这儿有一些鹅卵石。,Here are some pebbles.,M1,四年级上半学期,句子
我有一个主意！,I have an idea!,M1,四年级上半学期,句子
乌鸦放一些鹅卵石在瓶子里。,The crow puts some pebbles in the bottle.,M1,四年级上半学期,句子
她想要什么？,What does she want?,M1,四年级上半学期,句子
一块带有奶油和莓的蛋糕。,A cake with cream and berries.,M1,四年级上半学期,句子
那是她想要的。,That's what she wants.,M1,四年级上半学期,句子
一大瓶柠檬水。,A large bottle of lemonade.,M1,四年级上半学期,句子
邮局里面的邮递员正在吃一块吐司。,The postman in the post office is eating a piece of toast.,M1,四年级上半学期,句子
（外）祖父,grandfather,M2,四年级上半学期,单词
（外）祖母,grandmother,M2,四年级上半学期,单词
父亲,father,M2,四年级上半学期,单词
母亲,mother,M2,四年级上半学期,单词
叔叔,uncle,M2,四年级上半学期,单词
阿姨,aunt,M2,四年级上半学期,单词
我,me,M2,四年级上半学期,单词
堂表兄弟姐妹,cousin,M2,四年级上半学期,单词
中秋节,Mid-Autumn Day,M2,四年级上半学期,单词
有时候,sometimes ,M2,四年级上半学期,单词
盘子,dish,M2,四年级上半学期,单词
鱼,fish,M2,四年级上半学期,单词
洗,wash,M2,四年级上半学期,单词
潜水,dive,M2,四年级上半学期,单词
工作,job,M2,四年级上半学期,单词
火,fire,M2,四年级上半学期,单词
勇敢的,brave,M2,四年级上半学期,单词
医生,doctor,M2,四年级上半学期,单词
护士,nurse,M2,四年级上半学期,单词
老师,teacher,M2,四年级上半学期,单词
学生,student,M2,四年级上半学期,单词
警察,police officer,M2,四年级上半学期,单词
消防员,firefighter,M2,四年级上半学期,单词
厨师,cook,M2,四年级上半学期,单词
公交车司机,bus driver,M2,四年级上半学期,单词
害怕的,afraid,M2,四年级上半学期,单词
公主,princess,M2,四年级上半学期,单词
消防站,fire station,M2,四年级上半学期,单词
警局,police station,M2,四年级上半学期,单词
大衣,coat,M2,四年级上半学期,单词
衬衫,shirt,M2,四年级上半学期,单词
女士衬衫,blouse,M2,四年级上半学期,单词
T恤,T-shirt,M2,四年级上半学期,单词
半身裙,skirt,M2,四年级上半学期,单词
毛衣,sweater,M2,四年级上半学期,单词
牛仔裤,jeans,M2,四年级上半学期,单词
短裤,shorts,M2,四年级上半学期,单词
白色的,white,M2,四年级上半学期,单词
绿色的,green,M2,四年级上半学期,单词
蓝色的,blue,M2,四年级上半学期,单词
灰色的,grey,M2,四年级上半学期,单词
紫红色的,purple,M2,四年级上半学期,单词
布莱恩（男子名）, Bryan,M2,四年级上半学期,单词
牙齿（单数）,tooth,M2,四年级上半学期,单词
牙齿（复数）,teeth,M2,四年级上半学期,单词
他/她的家庭照片,photos of him/her,M2,四年级上半学期,短语
吃一些月饼,have some mooncakes,M2,四年级上半学期,短语
观赏美丽的月亮,watch the beautiful moon,M2,四年级上半学期,短语
抓住这条鱼。,catch the fish,M2,四年级上半学期,短语
洗这条鱼。,wash the fish,M2,四年级上半学期,短语
在消防站工作,work in/at the fire station.,M2,四年级上半学期,短语
这个男人是谁？,Who's that man?,M2,四年级上半学期,句子
哦，那是我的叔叔。,"Oh, that's my uncle.",M2,四年级上半学期,句子
他是我妈妈的兄弟。,He's my mother's brother.,M2,四年级上半学期,句子
他是一个警察。,He's a police officer.,M2,四年级上半学期,句子
你有任何的兄弟和姐妹吗？,Do you have any brothers and sisters?,M2,四年级上半学期,句子
不，我没有，但我有一个表兄弟。,"No, I don't, but I have a cousin. ",M2,四年级上半学期,句子
你有任何的叔叔和阿姨吗，彼得？,"Do you have any uncles and aunts, Peter?",M2,四年级上半学期,句子
对的，我有。我有一个叔叔和两个阿姨，并且我有4个堂表兄弟姐妹。,"Yes, I do.l have one uncle and two aunts,and I have four cousins.",M2,四年级上半学期,句子
欢迎来到我家。,Wecome to my home.,M2,四年级上半学期,句子
他11岁。,He's eleven years old.,M2,四年级上半学期,句子
他是我的叔叔。,He's my uncle. ,M2,四年级上半学期,句子
他会潜水。,He can dive.,M2,四年级上半学期,句子
真的吗？他很酷！,Really? He's cool!,M2,四年级上半学期,句子
是的，那是对的。,"Yes, that's right.",M2,四年级上半学期,句子
请来帮助我,Please come and help me,M2,四年级上半学期,句子
在中秋节，吉尔和她的父母看望她的祖父母。,"On Mid-Autumn Day, Jill and her parents visit her grandparents.",M2,四年级上半学期,句子
我有一个谜语给你猜。,I have a riddle for you.,M2,四年级上半学期,句子
有时候你能看见它，但有时候你不能。,"Sometimes you can see it, but sometimes you can't.",M2,四年级上半学期,句子
它在天空中又大又亮。,It's big and bright in the sky!,M2,四年级上半学期,句子
谁是那个穿短黑连衣裙的女孩？,Who's that girl in the short black dress?,M2,四年级上半学期,句子
谁是那个穿亮绿色衬衫的男人？,Who's that man in the bright green shirt?,M2,四年级上半学期,句子
打电话给消防站。,Call the fire station.,M2,四年级上半学期,句子
带来消防车。,Bring the fire engine.,M2,四年级上半学期,句子
扑灭火灾。,Put out the fire.,M2,四年级上半学期,句子
你爸爸是做什么的，吉尔,"What does your father do, Jjil?",M2,四年级上半学期,句子
你妈妈做什么工作？,What's your mother’s job?,M2,四年级上半学期,句子
他是一个消防员。,He is a firefighter.,M2,四年级上半学期,句子
